True Label,Predicted Label,Count
spotted_dove,great_myna,27
zebra_dove,great_myna,20
jp_starling,great_myna,18
javan_sparrow,great_myna,17
rubythroat,bw_leafbird,16
sum_laughingthrush,great_myna,16
hill_myna,great_myna,15
rb_starling,great_myna,15
crested_myna,great_myna,14
hwamei,bw_leafbird,13
zebra_dove,scarlet_minivet,13
swinhoes_white_eye,bw_leafbird,13
wr_shama,great_myna,13
hill_myna,scarlet_minivet,12
wc_laughingthrush,great_myna,12
sh_bulbul,bw_leafbird,11
cc_thrush,great_myna,11
cg_magpie,great_myna,10
om_robin,great_myna,10
hwamei,great_myna,10
bali_myna,great_myna,10
gg_leafbird,great_myna,10
Common_redpoll,great_myna,9
hooded_butcherbird,great_myna,9
cc_laughing,great_myna,9
wr_shama,scarlet_minivet,9
zebra_finch,great_myna,9
bh_bulbul,great_myna,8
vh_sunbird,great_myna,8
bt_laughingthrush,great_myna,8
af_bluebird,great_myna,8
fischers_lovebird,scarlet_minivet,7
rb_starling,bw_leafbird,7
ft_barbet,great_myna,7
Eurasian_siskin,scarlet_minivet,7
oh_thrush,bw_leafbird,7
rw_bulbul,great_myna,7
wr_shama,bluethroat,7
lg_leafbird,great_myna,7
jb_pitta,bw_leafbird,7
bc_hanging_parrot,great_myna,7
hill_myna,bluethroat,7
sb_munia,great_myna,7
se_mesia,great_myna,7
vf_nuthatch,great_myna,7
bw_leafbird,great_myna,7
rb_leiothrix,bw_leafbird,7
wr_munia,great_myna,7
zebra_finch,bw_leafbird,7
zebra_finch,scarlet_minivet,6
cc_thrush,scarlet_minivet,6
javan_sparrow,bluethroat,6
sh_bulbul,great_myna,6
Common_redpoll,scarlet_minivet,6
common_myna,great_myna,6
bm_leafbird,great_myna,6
bluethroat,bw_leafbird,6
spotted_dove,scarlet_minivet,5
oh_thrush,great_myna,5
scarlet_minivet,great_myna,5
rf_laughingthrush,great_myna,5
gf_leafbird,great_myna,5
se_mesia,bw_leafbird,5
gg_leafbird,bw_leafbird,5
javan_sparrow,scarlet_minivet,5
hoopoe,great_myna,5
wr_shama,bw_leafbird,5
Eurasian_jay,great_myna,5
rf_laughingthrush,bw_leafbird,5
vh_sunbird,scarlet_minivet,5
rb_starling,scarlet_minivet,5
Eurasian_siskin,bw_leafbird,5
jb_pitta,great_myna,5
bali_myna,bw_leafbird,5
gf_leafbird,bw_leafbird,5
yb_tit,bw_leafbird,5
oh_thrush,bluethroat,4
spotted_dove,bh_bulbul,4
wr_munia,scarlet_minivet,4
wc_laughingthrush,bw_leafbird,4
wr_munia,bluethroat,4
sb_munia,bluethroat,4
cg_magpie,bw_leafbird,4
wh_munia,bluethroat,4
jap_grosbeak,bw_leafbird,4
cc_thrush,bluethroat,4
spotted_dove,bluethroat,4
bm_leafbird,bluethroat,4
yb_tit,Eurasian_jay,4
common_myna,bw_leafbird,4
gg_leafbird,scarlet_minivet,4
sh_bulbul,scarlet_minivet,4
lb_white_eye,great_myna,4
vf_nuthatch,bw_leafbird,4
great_myna,scarlet_minivet,4
bluethroat,scarlet_minivet,4
crested_lark,bw_leafbird,4
gg_leafbird,hill_myna,4
bh_bulbul,bw_leafbird,4
fischers_lovebird,bw_leafbird,4
rubythroat,great_myna,4
yb_tit,great_myna,4
sh_bulbul,bluethroat,3
bt_laughingthrush,bw_leafbird,3
common_myna,scarlet_minivet,3
gg_leafbird,bluethroat,3
bt_laughingthrush,bh_bulbul,3
great_myna,bw_leafbird,3
scarlet_minivet,bw_leafbird,3
javan_sparrow,bh_bulbul,3
hill_myna,bw_leafbird,3
bluethroat,great_myna,3
lg_leafbird,scarlet_minivet,3
Eurasian_siskin,great_myna,3
lb_white_eye,hill_myna,3
hoopoe,bluethroat,3
oh_thrush,hill_myna,3
vh_sunbird,bw_leafbird,3
oh_thrush,scarlet_minivet,3
wh_munia,scarlet_minivet,3
bw_leafbird,bluethroat,3
lg_leafbird,bw_leafbird,3
hill_myna,fischers_lovebird,3
fischers_lovebird,great_myna,3
cc_laughing,scarlet_minivet,3
rubythroat,bluethroat,3
rf_laughingthrush,wr_shama,3
yb_tit,scarlet_minivet,3
spotted_dove,bw_leafbird,3
Eurasian_siskin,hill_myna,3
rw_bulbul,hill_myna,3
gf_leafbird,scarlet_minivet,3
jap_grosbeak,great_myna,3
jap_grosbeak,hill_myna,3
wc_laughingthrush,scarlet_minivet,3
wh_munia,bw_leafbird,3
gf_leafbird,bluethroat,3
crested_myna,scarlet_minivet,3
crested_lark,bluethroat,3
wh_munia,great_myna,3
jap_grosbeak,scarlet_minivet,3
rb_leiothrix,great_myna,3
crested_lark,scarlet_minivet,3
jb_pitta,scarlet_minivet,2
lb_white_eye,bluethroat,2
jap_grosbeak,om_robin,2
lb_white_eye,bw_leafbird,2
jp_starling,bw_leafbird,2
jp_starling,bluethroat,2
vf_nuthatch,bluethroat,2
sum_laughingthrush,bluethroat,2
sum_laughingthrush,bw_leafbird,2
swinhoes_white_eye,bluethroat,2
lg_leafbird,bluethroat,2
Common_redpoll,hill_myna,2
wc_laughingthrush,hill_myna,2
zebra_finch,bluethroat,2
vh_sunbird,hill_myna,2
wh_munia,bh_bulbul,2
zebra_dove,Eurasian_jay,2
wr_munia,hill_myna,2
fischers_lovebird,cg_magpie,2
bt_laughingthrush,fischers_lovebird,2
oh_thrush,bh_bulbul,2
